timestamp_ns,w_x,w_y,w_z,a_x,a_y,a_z
5056370635589,-0.551842988,-0.239815995,-0.094194002,10.016740799,0.654814005,-1.186326981
5056371895952,-0.549578011,-0.239150003,-0.092727996,10.022726059,0.661996007,-1.185130000
5056373156318,-0.548379004,-0.237018004,-0.090995997,10.028113365,0.668579996,-1.183933020
5056374416681,-0.546779990,-0.235285997,-0.088597998,10.041879654,0.671572983,-1.185130000
5056375676994,-0.543982983,-0.234620005,-0.085933998,10.056244850,0.664988995,-1.198897004
5056376937360,-0.540917993,-0.233287007,-0.085000999,10.067019463,0.666185975,-1.195306063
5056378197723,-0.538653016,-0.231689006,-0.082736000,10.070610046,0.670975029,-1.199496031
5056379458088,-0.536787987,-0.231156006,-0.079938002,10.073003769,0.666185975,-1.201889992
5056380718452,-0.534523010,-0.229690000,-0.078073002,10.074201584,0.670975029,-1.188722014
5056381978817,-0.532257974,-0.228490993,-0.076341003,10.081383705,0.677559018,-1.187525034
5056383239131,-0.529860020,-0.227424994,-0.074476004,10.096347809,0.677559018,-1.192312956
5056384499494,-0.527462006,-0.225960001,-0.072210997,10.093355179,0.683543980,-1.206678033
5056385759860,-0.526529014,-0.225292996,-0.069412999,10.086771011,0.696114004,-1.224635005
5056387020223,-0.525862992,-0.224227995,-0.067015000,10.081982613,0.701501012,-1.233613014
5056388280588,-0.523464978,-0.222762004,-0.065549001,10.072405815,0.707485974,-1.224035978
5056389540900,-0.520667017,-0.220763996,-0.063684002,10.071208954,0.713472009,-1.221642017
5056390801265,-0.518001974,-0.218897998,-0.061818998,10.078391075,0.716463983,-1.225831985
5056392061630,-0.516004026,-0.217699006,-0.060086999,10.075399399,0.713472009,-1.228824973
5056393321994,-0.515205026,-0.216499999,-0.057555001,10.053851128,0.708085001,-1.232416034
5056394582359,-0.513206005,-0.215301007,-0.054758001,10.043077469,0.709879994,-1.238400936
5056395842671,-0.510541975,-0.213303000,-0.052891999,10.047864914,0.702697992,-1.246780992
5056397103036,-0.508010030,-0.211836994,-0.051027000,10.055645943,0.690128028,-1.252167940
5056398363400,-0.506145000,-0.210638002,-0.048762001,10.052654266,0.687134981,-1.256955981
5056399623765,-0.504279971,-0.208773002,-0.047029998,10.034696579,0.691923976,-1.253963947
5056400884131,-0.501748025,-0.207040995,-0.044764999,10.032901764,0.705092013,-1.248576999
5056402144442,-0.499350011,-0.205309004,-0.042633001,10.046070099,0.706288993,-1.249773979
5056403404807,-0.497617990,-0.204243004,-0.040901002,10.044873238,0.697310984,-1.243788004
5056404665171,-0.495220006,-0.202911004,-0.039168999,10.051457405,0.697310984,-1.244984984
5056405925536,-0.492689013,-0.201045007,-0.037170999,10.050857544,0.706888020,-1.253365040
5056407185901,-0.490424007,-0.199579999,-0.035838999,10.040083885,0.723047972,-1.247380018
5056408446213,-0.488159001,-0.198381007,-0.034373000,10.040083885,0.714668989,-1.249174953
5056409706578,-0.486292988,-0.196781993,-0.032375000,10.034098625,0.700303018,-1.265336037
5056410966942,-0.484162003,-0.195182994,-0.030909000,10.029909134,0.694917023,-1.265934944
5056412227307,-0.481629997,-0.193984002,-0.029177001,10.024521828,0.695514977,-1.261744976
5056413487670,-0.478698999,-0.193185002,-0.027311999,10.006565094,0.711676002,-1.255759001
5056414747984,-0.476034999,-0.192251995,-0.025580000,9.998186111,0.724246025,-1.247380018
5056416008349,-0.473636001,-0.191185996,-0.024781000,9.997587204,0.733223975,-1.253963947
