timestamp_ns,w_x,w_y,w_z,a_x,a_y,a_z
148418911287,0.017576864,-0.011717909,-0.015446335,-9.576807022,-0.955286503,2.229001760
148419955837,0.018642129,-0.009054748,-0.012783173,-9.557653427,-0.972045898,2.229001760
148420909625,0.020240026,-0.007989484,-0.009054748,-9.543288231,-0.993593693,2.250549555
148421908825,0.020772658,-0.006391587,-0.005326322,-9.555258751,-0.972045898,2.269703150
148422908162,0.018109497,-0.002130529,-0.007989484,-9.564835548,-0.972045898,2.262520552
148423907387,0.015446335,0.000532632,-0.009054748,-9.567230225,-0.974440098,2.260126352
148424952175,0.010652645,0.004793690,-0.012783173,-9.567230225,-0.981622696,2.255337954
148425905875,0.010120013,0.000000000,-0.011717909,-9.557653427,-0.998382092,2.250549555
148426905150,0.010120013,-0.007456851,-0.012250542,-9.533711433,-1.017535686,2.255337954
148427904387,0.014913702,-0.011185277,-0.011717909,-9.562441826,-1.005564690,2.272097349
148428903712,0.017576864,-0.007456851,-0.012250542,-9.595960617,-1.005564690,2.288856745
148429948600,0.014381071,-0.001065264,-0.011717909,-9.583989143,-0.993593693,2.279279947
148430902275,0.010120013,0.000000000,-0.009587380,-9.569623947,-0.986411095,2.264914751
148431901300,0.009054748,-0.000532632,-0.009054748,-9.581595421,-0.993593693,2.262520552
148432900775,0.017044231,0.002130529,-0.010120013,-9.557653427,-1.003170490,2.279279947
148433900087,0.017576864,0.001597897,-0.010652645,-9.548076630,-1.017535686,2.231395960
148434944350,0.013848438,0.001065264,-0.006924219,-9.583989143,-1.003170490,2.240972757
148435898450,0.009587380,-0.003195793,-0.005858955,-9.600749016,-0.995987892,2.255337954
148436897525,0.011185277,-0.001065264,-0.010120013,-9.576807022,-1.005564690,2.252943754
148437888375,0.013315806,0.001597897,-0.013848438,-9.540893555,-1.022324085,2.262520552
148438896337,0.013315806,0.002130529,-0.015446335,-9.560047150,-1.012747288,2.250549555
148439940812,0.011185277,-0.000532632,-0.011185277,-9.557653427,-1.010353088,2.233790159
148440894625,0.011185277,0.001065264,-0.007456851,-9.548076630,-1.007958889,2.238578558
148441894075,0.009587380,0.006391587,-0.005326322,-9.536105156,-1.003170490,2.255337954
148442893175,0.008522116,0.012783173,-0.002130529,-9.526528358,-1.010353088,2.238578558
148443892400,0.007989484,0.014381071,-0.006391587,-9.519346237,-1.010353088,2.236184359
148444941375,0.007456851,0.013848438,-0.007989484,-9.533711433,-1.022324085,2.272097349
148445890912,0.008522116,0.009054748,-0.011717909,-9.538499832,-1.029506683,2.284068346
148446890400,0.007989484,0.003728426,-0.008522116,-9.519346237,-1.048660398,2.276885748
148447889562,0.010652645,0.001065264,-0.006924219,-9.476250648,-1.084573388,2.269703150
148448888862,0.011185277,0.003728426,-0.005858955,-9.466673851,-1.024718285,2.255337954
148449933537,0.008522116,0.006924219,-0.007456851,-9.497797966,-1.017535686,2.267308950
148450887275,0.006391587,0.005326322,-0.008522116,-9.493009567,-1.017535686,2.257732153
148451886400,0.005326322,0.003195793,-0.006391587,-9.464279175,-1.029506683,2.240972757
148452885700,0.007989484,-0.001065264,-0.007989484,-9.447520256,-1.051054597,2.245761156
148453884787,0.006924219,-0.001065264,-0.005858955,-9.478644371,-1.019929886,2.284068346
148454929475,0.003728426,0.004261058,-0.009054748,-9.461885452,-1.036689401,2.260126352
148455883712,-0.002663161,0.010120013,-0.009054748,-9.469067574,-1.039083600,2.250549555
148456882837,-0.001065264,0.012250542,-0.009054748,-9.476250648,-1.046266198,2.257732153
148457882075,-0.000532632,0.006391587,-0.007989484,-9.473855972,-1.063025594,2.267308950
148458880925,0.000532632,0.001597897,-0.004793690,-9.478644371,-1.074996591,2.245761156
148459925862,-0.001065264,0.000000000,-0.003195793,-9.471462250,-1.043871999,2.245761156
148460879900,0.000000000,-0.000532632,-0.002663161,-9.476250648,-1.036689401,2.255337954
148461879062,0.002130529,-0.002130529,-0.007989484,-9.466673851,-1.036689401,2.250549555
148462878087,0.001597897,-0.004261058,-0.012783173,-9.449913979,-1.041477799,2.219424963
148463877237,0.002130529,-0.004261058,-0.013315806,-9.457097054,-1.048660398,2.181117773
148464922225,0.002663161,-0.001597897,-0.007456851,-9.423578262,-1.022324085,2.262520552
148465875937,0.001065264,0.000532632,-0.002130529,-9.459490776,-1.043871999,2.257732153
148466875287,-0.003195793,0.001065264,-0.003728426,-9.471462250,-1.039083600,2.243366957
148467874200,-0.004793690,0.000000000,-0.003728426,-9.464279175,-1.015141487,2.233790159
148468873637,-0.005858955,0.000000000,-0.001597897,-9.485827446,-1.024718285,2.226607561
148469918650,-0.006924219,0.000000000,0.001065264,-9.461885452,-1.046266198,2.229001760
148470882737,-0.010120013,-0.002663161,-0.002663161,-9.485827446,-1.072602391,2.229001760
148471871325,-0.010652645,-0.003728426,-0.005858955,-9.473855972,-1.063025594,2.209848166
148472870537,-0.009054748,-0.001065264,-0.006391587,-9.459490776,-1.053448796,2.205059767
148473869862,-0.004261058,0.001597897,-0.004793690,-9.471462250,-1.063025594,2.236184359
148474914812,-0.001597897,0.002130529,-0.010652645,-9.471462250,-1.029506683,2.240972757
148475868700,-0.003195793,-0.002130529,-0.014381071,-9.509769440,-1.012747288,2.267308950
148476867750,-0.007989484,-0.003195793,-0.014913702,-9.497797966,-1.041477799,2.267308950
148477866925,-0.010120013,-0.002663161,-0.009587380,-9.497797966,-1.077390790,2.250549555
148478866100,-0.008522116,0.000000000,-0.006391587,-9.543288231,-1.079784989,2.233790159
148479928362,-0.006924219,-0.001597897,-0.006924219,-9.560047150,-1.058237195,2.248155355
148480864775,-0.007456851,-0.005858955,-0.009587380,-9.497797966,-1.043871999,2.212242365
148481864100,-0.009587380,-0.008522116,-0.006924219,-9.473855972,-1.046266198,2.212242365
148482863050,-0.013848438,-0.003728426,0.000000000,-9.473855972,-1.048660398,2.226607561
148483862412,-0.016511599,0.001065264,0.000000000,-9.488221169,-1.046266198,2.233790159
148484907275,-0.015446335,-0.000532632,-0.005858955,-9.495404243,-1.055842996,2.217030764
148485861025,-0.013848438,0.000000000,-0.012783173,-9.507374763,-1.034295201,2.221819162
148486860387,-0.012783173,-0.000532632,-0.015978968,-9.473855972,-1.053448796,2.224213362
148487859487,-0.013315806,0.002130529,-0.010120013,-9.449913979,-1.060631394,2.224213362
148488858662,-0.012783173,-0.001597897,-0.010652645,-9.454702377,-1.043871999,2.221819162
