timestamp_ns,tx,ty,tz,qx,qy,qz,qw
149202610000,0.000292000,-0.006405000,0.000467000,0.500638545,0.496952726,-0.477400195,0.523916109
149203459000,0.000030000,-0.006619000,0.000427000,0.500623062,0.496990395,-0.477393233,0.523901516
149204459000,-0.000279000,-0.006871000,0.000380000,0.500604541,0.497035236,-0.477385443,0.523883772
149205503000,-0.000602000,-0.007135000,0.000329000,0.500584150,0.497083775,-0.477376927,0.523864963
149206457000,-0.000898000,-0.007376000,0.000283000,0.500564092,0.497129195,-0.477368398,0.523848801
149207457000,-0.001208000,-0.007629000,0.000234000,0.500542928,0.497177271,-0.477357799,0.523833056
149208456000,-0.001520000,-0.007882000,0.000186000,0.500522101,0.497225215,-0.477346240,0.523817982
149209455000,-0.001832000,-0.008136000,0.000137000,0.500502155,0.497272943,-0.477334011,0.523802878
149210500000,-0.002159000,-0.008403000,0.000085000,0.500482197,0.497322183,-0.477321572,0.523786534
149211453000,-0.002459000,-0.008646000,0.000038000,0.500464016,0.497366693,-0.477310967,0.523771307
149212453000,-0.002775000,-0.008902000,-0.000011000,0.500444199,0.497414483,-0.477299275,0.523755513
149213452000,-0.003090000,-0.009158000,-0.000062000,0.500423400,0.497464406,-0.477285932,0.523740130
149214451000,-0.003406000,-0.009414000,-0.000113000,0.500402422,0.497516446,-0.477270329,0.523724961
149215496000,-0.003737000,-0.009682000,-0.000166000,0.500380672,0.497571422,-0.477252290,0.523709953
149216450000,-0.004040000,-0.009927000,-0.000215000,0.500360793,0.497622021,-0.477235211,0.523696433
149217449000,-0.004358000,-0.010184000,-0.000266000,0.500339556,0.497676214,-0.477217448,0.523681413
149218448000,-0.004678000,-0.010442000,-0.000319000,0.500317637,0.497731403,-0.477199745,0.523666035
149219448000,-0.004997000,-0.010700000,-0.000371000,0.500295014,0.497786910,-0.477181861,0.523651184
149220492000,-0.005333000,-0.010970000,-0.000426000,0.500270652,0.497844869,-0.477163487,0.523636102
149221446000,-0.005640000,-0.011217000,-0.000477000,0.500248275,0.497899624,-0.477146466,0.523620930
149222445000,-0.005962000,-0.011476000,-0.000531000,0.500224941,0.497959521,-0.477127102,0.523603908
149223445000,-0.006285000,-0.011736000,-0.000585000,0.500201140,0.498020456,-0.477106069,0.523587857
149224444000,-0.006608000,-0.011996000,-0.000639000,0.500177281,0.498079339,-0.477084692,0.523574117
149225489000,-0.006948000,-0.012268000,-0.000694000,0.500153244,0.498137818,-0.477061978,0.523562141
149226443000,-0.007259000,-0.012518000,-0.000744000,0.500132245,0.498189821,-0.477040459,0.523552328
149227442000,-0.007585000,-0.012779000,-0.000797000,0.500109380,0.498244822,-0.477018355,0.523541971
149228441000,-0.007912000,-0.013041000,-0.000850000,0.500084001,0.498302202,-0.476997346,0.523530743
149229440000,-0.008240000,-0.013303000,-0.000905000,0.500057158,0.498361846,-0.476976118,0.523518951
149230497000,-0.008588000,-0.013580000,-0.000963000,0.500028300,0.498426757,-0.476951682,0.523506981
149231439000,-0.008898000,-0.013828000,-0.001014000,0.500001229,0.498485060,-0.476929393,0.523497632
149232438000,-0.009228000,-0.014090000,-0.001069000,0.499970062,0.498547184,-0.476906777,0.523488843
149233437000,-0.009559000,-0.014354000,-0.001124000,0.499937987,0.498608967,-0.476885220,0.523480270
149234436000,-0.009891000,-0.014618000,-0.001179000,0.499907348,0.498669657,-0.476863650,0.523471371
149235481000,-0.010240000,-0.014895000,-0.001237000,0.499876637,0.498733231,-0.476839808,0.523461850
149236435000,-0.010558000,-0.015147000,-0.001290000,0.499848234,0.498793075,-0.476816624,0.523453071
149237434000,-0.010893000,-0.015412000,-0.001346000,0.499816727,0.498857841,-0.476791790,0.523444060
149238433000,-0.011228000,-0.015678000,-0.001403000,0.499784042,0.498923119,-0.476767470,0.523435203
149239433000,-0.011564000,-0.015944000,-0.001459000,0.499750657,0.498987936,-0.476743247,0.523427355
149240478000,-0.011916000,-0.016222000,-0.001518000,0.499714945,0.499055407,-0.476717245,0.523420808
149241431000,-0.012238000,-0.016476000,-0.001572000,0.499681629,0.499116545,-0.476693418,0.523416019
149242431000,-0.012577000,-0.016744000,-0.001629000,0.499645824,0.499180047,-0.476669229,0.523411672
149243430000,-0.012917000,-0.017011000,-0.001685000,0.499609875,0.499242820,-0.476645557,0.523407674
149244429000,-0.013257000,-0.017279000,-0.001742000,0.499573216,0.499307049,-0.476621895,0.523402944
149245474000,-0.013614000,-0.017560000,-0.001803000,0.499534151,0.499378115,-0.476596919,0.523395172
149246427000,-0.013940000,-0.017817000,-0.001861000,0.499497603,0.499446056,-0.476574057,0.523386044
149247427000,-0.014283000,-0.018086000,-0.001921000,0.499457735,0.499517560,-0.476550539,0.523377266
149248426000,-0.014627000,-0.018356000,-0.001980000,0.499416673,0.499586558,-0.476527517,0.523371554
